Equipment Condition,Number of Equipment,Equipment Service Time,Materials Quantity,Materials Transport Environment,Materials Procurement,Worker Capability,Worker Sense of Responsibility,Worker Health,Worker Experience,Worker Education,Worker Training,Worker Expertise,Worker Motivation,Worker Attitude,Work Space,Prefabrication,Working Field Accessibility,Advance Work,Work Method,Work Environment,Crew Composition,Work Difficulty,Work Quantity,Manager Capability,Management System,Construction Plan,Design Documents,Permission,Work Order,Claim,Safety/Accidents,Work Delay,Rework,Work Continuity,Information Technology,Productivity,Productivity
4,4,1,5,4,5,2,3,1,5,1,1,3,2,4,2,3,3,5,4,4,3,1,3,1,5,5,4,4,4,2,5,4,4,5,5,49.15,49.15
1,1,2,2,3,2,5,3,3,4,2,1,5,3,1,2,3,3,1,5,3,3,4,2,5,1,2,3,2,3,2,3,3,5,4,3,40.78,40.78
4,2,1,3,5,4,3,5,2,3,2,3,4,2,4,1,2,3,4,3,1,4,3,2,3,4,1,3,4,3,4,1,3,2,3,1,39.609,39.609
3,3,3,3,4,1,2,3,5,3,5,5,3,1,2,5,1,5,3,5,5,4,4,1,5,3,2,4,2,2,2,3,1,4,5,2,45.898,45.898
4,3,3,4,1,4,2,1,3,3,2,2,3,5,2,3,1,1,5,2,1,4,5,3,3,3,5,4,3,4,3,4,5,2,2,5,44.065,44.065
5,2,1,2,1,1,5,1,3,3,4,2,5,4,3,1,4,4,1,1,4,2,3,2,1,2,4,4,3,5,4,5,2,5,5,2,42.173,42.173
1,1,3,2,4,4,3,3,3,1,3,3,1,1,3,2,5,5,3,5,5,5,5,3,2,4,5,3,1,4,5,1,3,3,4,3,45.82,45.82
3,4,3,3,2,3,2,1,2,2,3,5,3,5,5,1,3,2,1,5,1,5,4,2,2,1,2,5,3,3,5,3,4,3,5,1,42.465,42.465
2,4,3,3,4,1,5,1,4,5,1,2,2,5,5,1,2,1,2,3,4,4,4,5,1,5,2,2,3,3,2,2,1,4,4,2,41.549,41.549
2,1,3,4,2,3,2,2,3,4,4,3,4,3,3,1,5,1,2,1,4,5,1,5,3,1,5,4,4,4,1,1,2,3,2,3,39.906,39.906
5,2,4,4,4,2,3,1,2,2,2,1,3,3,5,2,2,3,3,3,3,4,5,2,2,1,2,2,5,3,3,1,4,3,3,3,40.36,40.36
2,5,1,3,5,3,5,4,1,2,5,5,1,3,1,3,2,3,2,5,5,5,3,5,4,5,1,4,4,3,3,5,3,4,2,3,48.334,48.334
4,4,3,3,5,3,2,1,2,3,4,4,4,3,5,2,5,2,1,5,2,5,3,5,4,3,4,5,1,4,3,2,4,1,1,3,45.579,45.579
2,4,1,4,2,2,5,1,3,3,3,5,2,2,1,4,2,3,5,2,3,2,4,4,2,2,2,4,3,4,5,4,1,3,2,3,41.352,41.352
1,4,5,1,4,2,4,2,5,3,4,5,3,3,3,4,4,3,5,1,1,2,1,2,2,5,3,2,4,3,2,2,5,3,3,4,43.267,43.267
3,5,2,1,1,2,2,4,1,4,4,1,2,4,5,5,2,4,3,5,3,3,3,3,5,5,2,2,5,4,3,2,1,3,4,3,45.377,45.377
1,3,5,2,2,3,4,3,4,3,2,1,1,2,4,1,5,4,5,1,3,5,3,3,5,3,1,1,2,2,5,4,2,5,2,5,43.179,43.179
1,5,5,3,4,4,3,4,2,3,3,5,3,1,4,4,5,5,4,2,1,3,1,4,3,1,5,5,2,4,5,1,5,4,2,2,46.049,46.049
1,5,4,3,2,3,3,2,2,2,4,3,5,1,1,1,4,1,4,2,2,5,3,2,3,2,5,2,3,3,5,5,3,2,5,3,42.71,42.71
1,2,3,3,2,5,3,5,5,2,2,5,5,3,3,3,2,2,3,1,4,3,2,2,5,2,2,5,5,4,3,2,1,4,2,1,41.058,41.058
2,3,1,1,3,3,5,2,2,1,4,1,4,2,4,1,3,2,1,3,2,2,3,4,1,3,4,5,1,4,1,2,2,3,1,5,36.514,36.514
3,2,2,3,2,1,4,4,3,5,5,2,5,4,1,2,3,3,1,2,3,4,3,2,1,1,4,2,1,2,5,2,4,2,1,1,37.532,37.532
4,5,3,4,3,4,3,2,3,3,1,2,4,3,4,4,3,4,2,1,2,2,3,2,3,5,5,5,2,2,5,4,3,1,3,5,45.447,45.447
3,2,3,2,1,3,4,5,2,5,5,1,4,5,3,2,3,2,2,5,4,4,2,1,1,3,3,1,1,3,5,2,1,1,2,4,40.423,40.423
3,2,5,3,5,4,1,2,4,5,4,4,5,4,5,4,4,1,4,3,5,3,2,4,4,4,3,5,4,1,5,5,1,1,4,2,49.503,49.503
4,3,3,1,2,1,2,1,3,5,3,2,3,3,4,2,4,3,5,1,4,1,3,3,2,3,5,2,5,1,1,3,1,3,2,2,37.916,37.916
5,3,4,1,4,4,1,1,3,5,1,2,5,2,2,3,2,5,2,1,3,5,4,3,5,1,5,3,5,4,5,5,4,2,5,2,46.695,46.695
4,5,1,2,3,4,5,3,3,1,4,1,1,2,5,5,4,4,5,3,3,3,2,4,4,5,3,5,5,1,5,1,3,1,3,2,45.688,45.688
5,5,5,1,5,4,1,1,4,2,3,5,4,2,2,1,2,1,1,3,5,4,2,4,5,5,1,1,3,5,5,3,1,4,2,1,41.882,41.882
2,3,5,4,1,4,5,3,5,5,3,2,1,4,4,3,5,5,3,4,3,5,5,1,1,1,4,1,1,5,3,5,5,2,2,4,47.677,47.677
3,4,2,3,1,1,4,5,1,5,5,1,5,1,4,4,5,5,5,4,5,5,3,3,3,2,5,5,1,2,4,3,5,5,5,5,53.675,53.675
1,3,5,5,5,4,5,3,2,1,2,2,2,2,4,5,3,4,2,3,3,5,3,5,4,2,1,5,5,3,4,4,4,5,3,3,48.752,48.752
2,5,3,2,3,5,4,4,4,4,5,1,2,2,3,4,3,5,1,4,4,5,1,5,1,3,2,1,4,3,2,2,3,4,5,3,46.256,46.256
5,5,3,4,1,2,1,3,2,5,1,5,2,3,2,1,3,5,5,2,5,5,4,1,4,1,3,1,5,3,4,5,2,4,4,3,45.458,45.458
3,4,1,3,4,4,2,2,2,1,2,5,2,1,2,2,1,4,2,1,1,5,2,5,3,3,4,1,2,1,1,4,1,2,3,4,35.916,35.916
5,1,1,2,2,3,1,2,5,3,3,1,1,3,1,5,5,3,1,4,2,5,3,1,3,3,1,1,2,3,3,1,2,5,4,2,38.264,38.264
3,1,4,3,5,4,5,2,2,4,1,5,3,4,5,3,2,4,1,3,1,2,3,1,4,3,5,2,1,5,5,1,5,2,2,1,41.12,41.12
5,3,5,4,3,5,1,4,1,3,4,1,3,1,5,2,2,1,2,2,5,5,3,3,2,4,5,2,1,5,1,4,5,1,1,2,41.879,41.879
2,4,5,3,4,3,1,3,2,1,3,2,3,2,1,3,3,3,3,2,5,4,5,2,4,3,2,2,4,1,3,2,5,5,4,2,42.86,42.86
2,2,5,2,4,4,2,2,5,2,5,4,3,2,1,5,1,2,2,4,2,3,3,1,4,3,2,5,1,1,1,4,4,1,5,4,41.5,41.5
4,4,1,5,4,1,1,5,5,5,3,4,5,2,3,5,5,5,2,3,1,5,5,4,4,2,2,4,4,2,4,3,1,5,4,2,49.728,49.728
5,4,1,1,2,1,4,5,5,4,3,5,4,2,3,5,1,3,2,3,4,4,3,1,3,3,2,1,2,3,5,3,3,2,5,1,43.207,43.207
2,1,3,5,3,4,3,3,2,2,5,1,1,2,2,5,5,1,2,4,3,5,4,4,1,1,5,1,1,2,1,4,2,2,3,1,39.096,39.096
1,4,4,1,1,5,3,1,4,4,2,5,1,3,2,5,5,3,5,3,4,3,2,1,1,2,2,3,5,1,4,1,2,3,1,1,38.757,38.757
3,4,2,5,1,2,1,5,4,5,5,1,1,4,1,5,2,4,4,5,3,4,1,1,2,3,2,4,4,3,5,1,2,4,1,4,43.493,43.493
5,4,2,3,1,2,3,2,5,5,4,5,5,1,4,2,4,1,2,4,5,4,4,4,3,1,5,1,1,3,3,3,4,1,3,3,44.952,44.952
1,2,3,3,2,2,4,1,4,5,4,3,2,5,3,4,5,4,5,3,4,3,3,2,1,1,2,5,1,2,5,3,4,3,1,4,43.955,43.955
5,5,2,4,5,3,5,3,3,4,5,4,3,4,2,4,2,5,5,5,4,5,1,2,5,4,2,2,3,4,3,3,1,4,4,1,49.315,49.315
3,2,1,1,4,2,4,4,5,3,4,1,2,1,5,2,3,4,2,2,4,4,5,5,2,2,4,1,3,4,3,5,5,4,5,4,46.981,46.981
5,1,2,2,1,4,2,4,1,4,5,3,4,3,5,2,3,5,2,4,4,1,3,5,1,4,2,4,3,1,5,4,4,5,4,2,46.04,46.04
3,4,2,1,5,1,2,5,4,4,2,2,2,1,5,3,3,4,4,3,3,5,2,1,4,2,1,5,2,5,1,5,1,3,5,4,43.922,43.922
1,2,5,3,5,5,5,3,5,2,3,4,4,1,4,1,5,1,3,3,5,4,5,4,2,3,5,4,3,5,5,2,3,5,4,2,49.74,49.74
2,5,5,1,1,5,4,5,1,4,3,1,1,1,3,1,3,5,3,2,2,3,4,1,3,5,3,5,4,4,2,4,2,2,1,5,42.194,42.194
1,1,5,2,5,5,2,2,1,5,1,4,2,5,3,1,2,5,2,3,5,2,4,3,2,4,1,4,3,2,2,2,3,1,1,2,38.408,38.408
1,5,1,3,1,3,1,5,4,4,1,4,5,5,1,4,2,5,1,4,3,1,3,3,1,1,5,4,1,5,2,5,1,4,3,3,42.084,42.084
1,4,1,4,1,1,3,1,2,1,4,5,2,1,1,2,1,4,5,4,4,2,4,3,3,2,4,4,5,4,2,2,3,2,5,3,40.301,40.301
5,4,2,5,2,5,3,3,4,3,3,5,2,1,4,5,1,3,2,4,1,3,4,1,4,1,3,4,4,1,4,2,1,4,1,3,41.777,41.777
5,1,3,3,3,4,1,5,3,3,1,4,1,3,1,3,2,5,2,1,1,1,1,1,1,4,3,4,5,5,4,2,4,3,5,2,38.799,38.799
3,5,5,1,2,4,4,1,1,3,2,5,3,3,1,5,3,1,3,5,1,1,5,2,2,2,4,5,2,3,2,3,4,1,2,3,40.665,40.665
5,2,4,4,2,2,5,1,3,2,1,3,3,5,2,3,1,3,5,3,5,5,2,2,3,2,2,3,5,4,3,4,4,4,3,4,45.203,45.203
2,3,3,5,1,2,5,2,3,4,4,1,3,3,5,5,4,2,3,5,3,3,4,1,1,5,1,2,5,2,5,3,3,1,2,4,44.828,44.828
4,2,2,2,5,4,3,1,4,2,2,2,3,3,2,1,5,3,4,4,2,3,5,1,4,4,5,3,5,4,2,1,4,1,5,5,44.817,44.817
3,1,4,4,2,2,3,5,2,3,3,3,1,3,5,3,4,3,2,2,2,1,3,3,5,1,4,2,2,2,2,4,3,4,2,2,39.187,39.187
3,3,1,3,1,2,5,4,1,2,4,4,2,5,5,4,1,4,4,5,3,2,5,4,3,1,4,2,4,3,2,1,4,4,3,5,45.657,45.657
1,2,1,4,1,4,1,5,4,4,2,1,2,2,1,5,5,1,1,2,1,5,4,4,1,3,3,4,1,4,2,4,3,5,1,5,41.278,41.278
2,5,2,5,1,4,4,4,3,5,2,5,3,3,4,5,5,2,1,1,5,4,1,2,3,5,2,3,3,4,2,3,2,3,3,3,45.624,45.624
5,5,5,5,5,4,5,2,5,2,5,1,1,2,2,1,2,3,1,4,4,4,4,4,5,3,4,5,1,4,1,3,1,1,2,2,43.376,43.376
2,4,1,1,2,3,2,2,2,3,1,3,5,2,1,2,1,2,2,4,5,3,1,1,3,3,5,5,4,1,5,2,1,4,4,5,39.914,39.914
2,1,5,5,2,2,4,1,1,4,4,2,5,3,3,3,1,4,1,2,4,1,1,1,1,2,3,4,2,3,4,5,2,1,5,1,37.406,37.406
4,3,3,4,1,1,2,3,1,3,3,3,1,3,5,3,3,3,1,1,2,4,3,3,3,5,3,5,5,4,3,2,4,2,3,5,43.194,43.194
2,5,2,2,4,5,4,2,1,1,4,5,1,3,1,2,4,1,3,4,3,4,5,3,1,4,1,3,1,2,3,4,4,3,1,2,40.05,40.05
5,5,3,2,3,5,5,3,3,4,4,5,1,4,5,2,5,5,4,4,3,2,2,2,2,5,5,2,3,1,5,5,5,4,3,5,52.065,52.065
4,2,5,5,3,3,5,2,3,1,1,3,2,1,2,4,4,2,3,1,3,3,2,3,5,2,3,3,5,3,5,3,5,4,2,2,42.506,42.506
1,3,4,5,3,3,5,3,1,2,2,2,4,5,5,2,2,3,4,3,1,5,5,5,1,2,3,1,1,4,3,3,1,1,4,1,40.589,40.589
3,3,4,5,3,3,4,5,3,2,1,3,3,1,5,3,2,2,3,1,5,5,4,4,3,1,1,5,3,5,5,4,2,3,1,1,43.161,43.161
4,3,5,4,1,5,2,4,1,4,3,4,5,1,5,5,1,3,4,4,4,1,4,4,1,3,4,3,5,5,3,4,2,1,5,3,47.922,47.922
5,1,3,2,5,2,4,2,4,4,5,4,3,5,1,4,3,2,4,4,2,3,5,3,4,3,3,2,2,3,3,2,5,4,4,3,47.119,47.119
3,5,2,3,5,1,4,2,2,2,1,3,3,5,3,2,4,1,3,3,4,2,1,1,1,5,5,1,1,5,4,3,1,2,3,1,37.852,37.852
1,2,3,1,4,4,5,1,1,2,1,1,1,3,5,1,3,1,2,2,5,1,5,4,1,2,1,1,4,2,1,2,5,1,5,3,35.328,35.328
1,1,2,5,3,1,4,1,5,3,1,2,2,4,3,1,1,5,3,2,2,3,1,5,5,2,1,4,2,3,2,4,5,4,2,4,39.078,39.078
5,5,2,2,5,1,5,2,2,4,1,2,2,4,5,5,3,2,3,3,2,1,4,4,4,3,5,3,2,2,1,4,4,2,1,2,42.144,42.144
1,5,2,4,5,4,4,5,2,2,3,4,4,3,1,5,5,5,4,1,2,4,1,5,4,2,5,1,4,4,2,1,1,5,5,3,46.805,46.805
1,5,4,3,5,4,5,3,2,4,3,1,3,2,3,3,1,5,2,2,4,1,1,5,1,2,5,1,4,4,3,2,2,3,4,2,41.132,41.132
5,1,3,1,4,2,1,4,4,4,5,5,5,2,5,5,1,4,5,4,5,3,4,5,2,1,5,3,2,1,4,5,2,2,2,2,47.027,47.027
4,4,2,1,2,1,5,3,5,1,2,1,3,2,4,5,4,3,2,5,2,5,1,1,3,4,2,1,4,5,1,1,2,5,1,2,39.423,39.423
5,3,4,3,4,1,5,3,2,2,4,5,1,5,1,5,3,4,3,2,1,1,2,5,5,4,3,1,3,2,2,4,5,1,2,3,42.485,42.485
2,2,2,5,4,1,3,3,2,3,4,2,1,2,2,1,4,1,3,2,4,5,3,5,4,3,3,4,3,3,3,4,5,2,3,2,42.169,42.169
5,2,2,5,2,3,1,2,4,5,5,3,5,1,2,5,3,4,1,3,2,2,5,5,1,1,4,2,2,4,1,2,3,3,2,4,42.684,42.684
4,5,1,2,1,3,3,1,4,3,5,5,5,5,3,4,4,3,5,5,4,4,2,1,1,4,4,1,2,2,3,3,1,4,1,3,44.42,44.42
4,4,4,2,5,1,3,1,5,1,1,2,2,1,2,1,1,5,2,5,2,1,4,1,1,3,2,3,1,2,4,1,2,4,5,5,37.251,37.251
1,1,1,2,1,3,1,3,3,4,2,2,3,5,2,2,1,1,5,1,3,2,3,5,3,4,1,3,1,2,4,1,5,2,2,2,35.075,35.075
2,1,4,4,4,4,3,4,4,3,2,5,2,3,4,1,2,1,5,2,4,3,4,5,3,1,1,3,1,2,5,4,2,3,2,1,40.244,40.244
1,2,2,2,2,4,1,1,3,1,5,5,1,2,5,2,1,2,1,5,3,2,1,1,1,5,1,2,5,1,2,5,5,1,2,5,36.571,36.571
4,2,5,3,5,1,5,3,5,3,3,5,2,1,5,1,2,4,3,1,2,1,5,4,5,4,3,2,5,5,4,2,4,4,1,1,43.482,43.482
4,1,2,2,4,2,2,4,4,1,5,2,1,1,4,3,3,5,4,3,1,3,4,4,4,4,3,4,4,3,4,1,2,2,2,5,42.721,42.721
5,3,5,3,2,4,1,2,5,3,3,4,1,1,5,5,3,3,3,1,4,5,1,4,3,4,4,2,4,1,3,5,5,1,4,3,46.023,46.023
2,1,4,4,4,5,1,3,2,3,3,4,1,2,3,5,2,2,4,3,4,3,4,3,1,4,4,4,1,1,2,4,2,2,3,2,41.099,41.099
1,1,1,2,3,4,5,5,4,4,5,4,4,4,1,4,2,4,2,5,1,5,2,5,5,5,3,4,3,4,2,1,2,4,5,5,49.21,49.21
4,5,5,5,2,3,5,3,5,3,1,4,4,3,5,1,5,4,4,1,5,2,1,5,5,4,2,2,2,4,3,5,1,3,3,2,46.477,46.477
4,2,1,5,1,4,2,2,4,4,1,3,3,5,1,5,2,4,4,2,5,3,4,5,5,4,1,1,5,1,5,2,4,1,3,5,46.007,46.007
3,5,4,2,5,3,2,2,2,5,3,4,2,4,3,3,5,5,2,2,1,3,5,2,2,1,5,5,3,2,3,5,4,3,5,4,47.723,47.723
5,4,5,3,3,2,3,5,3,4,1,3,4,3,1,4,2,5,3,1,4,1,2,1,5,3,2,4,1,4,1,5,2,2,1,3,40.549,40.549
1,4,1,3,5,1,2,1,2,3,4,4,1,1,1,3,2,3,1,3,1,4,1,3,3,1,2,3,5,2,5,4,4,2,3,1,35.896,35.896
5,4,1,5,3,4,3,3,4,2,2,5,1,1,2,3,4,2,5,4,2,2,1,3,5,2,4,5,4,4,5,1,1,4,4,2,43.476,43.476
3,2,3,5,2,4,5,5,4,2,5,3,1,3,2,2,3,4,2,4,2,5,1,3,5,5,5,1,1,2,3,2,1,1,5,2,42.565,42.565
1,2,3,4,5,1,4,5,4,2,3,5,5,1,2,3,4,2,4,4,5,3,1,3,3,1,4,4,4,5,3,4,3,5,5,2,47.135,47.135
2,3,3,3,1,1,5,2,4,1,3,2,1,1,1,1,3,5,1,1,5,3,1,1,1,1,4,3,1,3,5,2,4,3,3,5,35.822,35.822
2,3,1,2,5,4,2,4,2,3,1,1,2,4,1,2,1,4,1,2,3,3,3,5,3,1,2,3,1,2,4,5,3,5,1,4,38.307,38.307
5,3,4,1,3,5,4,3,5,1,3,2,4,3,1,2,4,5,1,4,2,1,3,4,2,1,4,1,1,1,1,3,2,3,2,1,36.563,36.563
5,2,2,3,5,1,3,2,5,5,5,1,4,4,2,3,1,4,4,1,3,5,1,5,1,4,4,3,3,2,4,1,5,3,5,5,46.752,46.752
2,3,3,4,4,1,4,4,3,3,5,3,2,1,5,5,1,4,1,1,1,2,4,2,1,3,1,4,5,4,5,2,4,4,4,1,41.727,41.727
3,5,3,2,4,4,4,2,1,1,5,5,3,3,5,3,2,5,5,2,5,3,1,4,5,1,1,3,3,2,5,3,4,5,2,5,47.119,47.119
5,1,4,4,2,1,2,5,2,3,4,4,4,5,5,3,4,1,5,1,4,3,3,4,3,2,5,4,5,5,1,2,2,2,4,5,47.04,47.04
2,3,1,3,5,3,5,5,2,1,4,1,3,3,5,5,3,1,2,1,1,2,3,5,4,2,5,4,2,4,2,3,4,1,3,5,43.148,43.148
5,1,3,3,1,1,1,3,5,3,3,3,5,1,5,2,1,1,5,5,3,2,1,2,1,5,2,1,4,4,4,2,5,3,3,3,40.632,40.632
3,5,5,3,2,1,4,4,3,4,2,1,2,5,1,5,5,3,2,5,3,2,4,2,5,1,1,3,3,2,2,3,2,1,3,1,40.867,40.867
4,2,2,2,4,5,1,1,3,5,2,3,2,2,1,4,4,2,2,2,2,4,4,2,1,2,2,3,2,4,4,1,5,1,5,2,39.307,39.307
2,2,5,1,2,4,4,4,3,5,4,5,4,5,5,2,1,4,5,5,3,3,5,5,1,2,5,5,4,2,4,5,2,3,1,2,48.675,48.675
4,2,4,5,5,5,1,5,4,2,3,4,1,2,2,2,5,2,4,4,5,5,2,2,5,1,2,4,2,1,5,4,3,3,5,2,46.296,46.296
5,4,5,4,5,3,1,2,5,5,4,2,1,4,4,3,4,1,5,3,5,3,2,3,3,4,1,1,1,4,3,2,3,1,3,3,44.056,44.056
1,2,2,2,5,2,1,5,1,3,2,1,3,5,4,2,5,3,3,2,4,5,4,1,4,1,1,2,5,2,1,2,3,3,1,4,39.148,39.148
2,3,3,1,2,5,5,1,4,3,4,4,5,4,2,4,3,4,3,5,4,3,5,5,4,2,2,1,5,4,3,5,3,5,1,2,48.237,48.237
5,4,4,2,5,4,5,2,3,5,2,5,4,2,1,2,3,2,1,5,2,2,5,4,3,4,1,5,3,3,4,3,2,5,3,2,46.034,46.034
2,2,1,2,3,2,2,3,3,5,4,3,4,2,4,4,4,1,4,3,2,1,5,2,3,5,3,2,2,1,2,2,2,2,4,2,39.884,39.884
1,5,4,3,4,2,1,1,3,4,3,5,4,3,5,2,2,5,2,2,2,5,1,2,3,2,3,2,3,3,5,2,3,3,1,1,39.565,39.565
3,2,5,2,1,4,2,3,5,1,2,1,5,1,2,1,4,5,3,4,4,1,3,3,2,2,4,5,2,1,2,1,5,5,5,2,41.085,41.085
5,3,2,4,3,1,5,1,4,5,3,5,2,5,3,4,1,3,5,5,4,2,2,4,3,5,4,1,1,4,1,5,5,5,3,3,48.224,48.224
1,1,5,1,1,3,3,1,3,5,3,2,2,1,2,1,2,1,2,3,4,1,3,3,1,5,1,4,3,4,3,4,4,3,2,2,36.243,36.243
3,4,4,3,1,1,1,2,4,1,4,2,2,5,5,5,2,3,5,4,5,5,4,4,4,4,1,2,1,5,3,1,5,1,4,1,44.765,44.765
5,5,4,3,5,1,5,4,1,2,5,5,4,4,4,1,5,1,5,1,5,2,3,2,1,3,1,2,4,4,5,2,1,4,1,4,44.017,44.017
1,1,1,4,2,3,1,3,1,5,2,1,1,2,1,1,5,2,2,5,1,4,3,1,2,4,2,4,4,3,5,4,5,1,1,3,37.405,37.405
5,3,5,3,1,2,1,5,5,2,3,3,5,4,3,2,4,1,5,2,5,2,5,1,3,5,1,5,3,5,4,5,1,3,2,1,44.681,44.681
4,4,3,3,1,5,1,1,4,3,2,4,5,4,5,1,2,4,3,2,1,1,2,1,2,5,1,2,4,2,4,1,3,2,1,3,36.86,36.86
4,5,1,4,2,3,2,2,4,1,4,4,1,3,1,5,2,4,1,4,3,2,5,3,2,2,2,2,2,5,1,2,4,2,3,1,38.835,38.835
4,5,2,4,3,5,5,5,4,3,1,4,1,4,3,2,5,2,5,2,2,1,4,3,5,5,4,1,4,1,3,4,5,5,2,2,46.66,46.66
1,5,4,1,3,5,1,2,4,5,5,2,5,1,4,3,3,3,1,5,3,5,1,4,3,5,5,3,1,3,4,2,5,1,3,1,45.151,45.151
3,2,2,1,4,4,3,5,3,5,4,5,2,5,1,4,4,5,2,1,5,4,5,5,4,3,2,4,1,5,1,1,1,1,2,2,43.876,43.876
2,2,2,1,2,3,3,5,1,2,1,3,1,2,2,2,5,2,1,5,3,3,1,3,1,5,1,2,1,4,5,4,4,2,3,2,37.272,37.272
3,5,4,3,3,5,1,1,5,1,5,2,3,1,5,3,1,1,3,1,1,1,4,2,3,3,5,4,1,5,2,1,3,4,3,4,39.859,39.859
5,4,4,1,4,5,2,2,1,5,2,4,4,1,2,5,4,1,1,1,5,5,5,5,4,1,4,2,4,2,3,3,2,3,3,5,46.645,46.645
4,5,2,1,3,1,1,4,1,3,4,1,1,1,5,3,5,3,4,2,3,4,3,5,1,1,4,3,3,1,4,2,2,4,5,1,40.727,40.727
4,5,1,3,2,1,2,4,4,4,1,1,3,3,3,4,2,5,3,3,3,1,2,1,3,4,1,1,5,4,5,4,5,3,1,3,41.37,41.37
5,2,2,3,2,1,1,4,5,4,3,4,1,2,3,1,4,4,1,4,1,2,2,3,1,2,4,5,3,5,4,1,3,4,3,5,41.291,41.291
3,4,2,1,5,5,1,2,3,2,3,3,2,4,3,4,4,1,3,2,4,2,3,5,2,2,5,1,1,5,3,5,5,1,3,1,41.665,41.665
2,4,2,3,5,2,5,2,4,1,2,2,3,4,5,5,4,1,1,5,2,2,5,1,1,4,5,3,3,5,4,2,2,4,5,2,44.921,44.921
4,4,3,2,5,4,4,3,4,4,5,3,1,5,5,1,3,5,5,4,5,1,2,1,1,5,1,4,2,1,5,1,5,4,1,1,43.911,43.911
3,2,2,1,3,4,1,2,4,3,2,2,1,4,4,1,3,2,3,1,1,3,1,1,4,4,4,1,1,2,5,2,5,4,1,3,35.478,35.478
4,2,5,1,3,4,3,2,2,2,2,4,4,1,4,3,1,5,3,5,2,4,2,5,4,1,5,5,1,4,3,2,5,5,1,3,44.291,44.291
3,2,1,4,1,1,4,1,1,5,1,4,4,1,2,4,2,1,2,4,2,1,5,2,3,3,3,4,5,1,2,3,3,4,2,3,38.35,38.35
1,2,3,4,4,4,2,1,2,3,1,3,3,4,2,3,2,5,2,1,3,1,3,5,3,4,4,3,3,1,1,4,1,3,1,2,36.907,36.907
2,4,1,1,2,5,2,5,4,1,2,2,2,3,2,1,3,1,1,4,5,5,5,2,4,4,5,5,3,3,2,1,3,1,5,2,41.684,41.684
4,3,3,4,3,4,4,1,1,5,5,4,5,4,3,2,3,4,2,2,5,5,4,5,5,1,3,1,2,3,1,3,1,3,1,1,43.033,43.033
2,4,5,5,1,5,4,5,4,3,4,4,3,5,3,4,4,2,3,4,4,3,1,4,2,5,1,3,2,4,1,1,1,1,5,3,45.411,45.411
3,2,1,4,2,1,5,5,3,2,3,3,5,4,4,5,5,2,5,2,5,1,4,2,4,4,1,3,1,2,5,1,4,5,4,1,45.256,45.256
4,1,5,5,1,1,3,4,4,1,2,3,2,1,5,2,2,1,2,3,2,4,2,4,2,5,5,4,5,5,2,1,2,3,3,1,39.607,39.607
4,3,1,3,3,1,1,5,3,1,5,4,3,2,4,2,2,3,4,1,3,1,5,5,1,2,5,5,2,4,3,2,2,3,5,2,41.432,41.432
3,1,5,3,1,4,3,2,4,5,1,2,2,3,3,2,5,1,4,1,3,2,1,1,2,3,2,2,3,2,4,2,2,1,2,3,35.262,35.262
4,4,2,1,4,2,1,3,3,4,2,1,1,3,5,2,3,5,2,5,1,1,5,5,5,5,3,3,1,5,3,3,3,2,1,2,41.682,41.682
4,1,1,3,1,4,1,1,5,5,3,4,5,5,3,3,5,3,1,1,1,5,1,2,3,4,3,3,5,1,5,4,1,5,4,1,42.569,42.569
4,2,3,5,3,4,5,3,2,2,1,1,5,2,3,2,2,1,4,3,4,3,5,4,4,3,1,5,1,1,5,2,5,3,5,5,45.908,45.908
4,3,3,1,5,4,4,1,4,5,2,1,2,4,1,1,4,5,1,3,1,1,1,1,2,3,3,1,1,2,4,1,1,1,1,1,31.497,31.497
1,3,3,2,4,2,3,2,1,5,1,4,2,2,3,4,5,1,5,3,5,4,5,5,1,4,2,1,2,2,4,3,1,3,5,3,44.182,44.182
2,4,3,4,5,3,3,4,1,1,4,3,5,5,1,2,4,2,5,5,4,4,3,4,1,4,2,5,4,2,2,1,3,4,4,1,45.206,45.206
2,3,1,2,2,4,2,1,4,1,3,5,1,5,5,2,2,3,5,2,3,4,2,5,5,4,3,3,4,1,1,5,2,5,3,1,41.764,41.764
2,5,5,1,5,1,4,4,1,4,4,1,2,5,4,3,2,4,1,1,2,2,1,2,3,1,4,4,5,2,2,2,2,3,2,3,38.405,38.405
3,4,1,1,2,1,3,2,1,5,3,4,1,1,5,2,1,4,4,3,5,2,2,4,3,3,5,4,2,3,1,3,5,4,1,5,41.87,41.87
1,5,2,4,2,5,1,3,1,2,5,5,4,3,1,4,2,3,5,2,4,2,4,2,3,2,2,5,1,5,1,4,1,1,3,4,41.513,41.513
5,1,3,4,4,2,2,2,2,2,2,5,3,2,1,1,2,5,3,1,4,5,5,2,4,2,4,3,4,3,3,5,5,1,3,3,42.663,42.663
5,3,4,3,4,4,5,5,4,3,4,4,2,1,1,4,1,2,3,3,3,2,1,4,5,4,5,1,1,4,5,3,3,4,1,4,44.942,44.942
2,2,4,1,1,5,1,2,2,1,3,4,2,5,5,2,5,5,1,3,2,3,2,5,3,3,2,2,1,5,4,2,4,3,2,3,40.662,40.662
2,4,4,2,4,1,4,5,5,3,1,2,3,1,2,1,5,5,5,5,1,3,4,4,5,2,3,5,2,5,4,1,4,5,5,3,47.749,47.749
